,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
14,AL-RandVarUncertainty-ARF-b0.2-,0.204,96.91632868,80.82062579,82.77307082,84.26138456,81.33939806,4.815699338,82.2461,76.85289053,82.16886443,75.82548488,79.76558249,86.08839251,86.89167102,75.81610704,83.45946974,86.7982601,79.49464516,95.73844074,89.71857973,69.6218638,73.90461373,93.90583804,79.54609501,14.37896033,2.826927696,2.273049262,3.71934275,0.880216653
15,AL-SelSampling-ARF-b0.2-,0.203992,96.98761471,81.32042195,83.3019211,84.81492749,81.84366518,4.701303961,82.7191,77.46321362,82.41509299,75.83216775,81.28154311,86.80226325,87.11280048,75.93952054,84.18378623,87.33946504,80.38417838,96.22768728,90.11915454,69.0609319,76.08102447,94.37589454,79.58132045,14.34112135,2.634638482,2.216499178,3.537503603,0.776757188
16,AL-FixedUncertainty-MOOB-b0.2-,0.204,96.11665628,82.517425,82.36151397,81.84475933,82.88484922,4.706375365,81.8355,76.66646946,80.38441961,72.3087265,82.09275739,89.2880985,86.90032001,81.90290402,73.58068049,77.07019895,85.11143467,91.5585785,78.92162146,71.08721625,87.82059721,93.89905838,82.69575282,8.747710141,5.135719433,5.242589057,2.514384549,1.891473642
17,AL-VarUncertainty-MOOB-b0.2-,0.204,95.44473459,82.95331209,82.81484506,82.33025803,83.30563345,4.50647072,82.564,77.59084221,81.9676689,73.67750155,82.36853109,88.31040851,86.97610373,83.40918551,77.05290608,77.67366479,84.14161229,89.37392149,80.59008443,70.59318996,87.67697924,92.91902072,84.74889291,8.040782005,4.2278405,5.055769669,2.682502162,2.525459265
18,AL-RandVarUncertainty-MOOB-b0.2-,0.204,96.01642265,82.00772062,81.97099612,81.60169043,82.3440313,4.787457548,81.5066,76.23226304,80.70941767,71.07290732,82.00418526,89.07452011,86.16256116,82.04394106,71.51811427,76.44373492,86.60599356,91.39666832,79.4290761,70.64575866,88.44174496,91.69190207,81.51167472,8.725487252,5.661902474,5.469749907,2.171576823,1.908571286
19,AL-SelSampling-MOOB-b0.2-,0.203994,95.92493067,81.94341983,81.92471674,81.60173701,82.25092257,4.803266322,81.4649,76.1702195,80.75510427,71.45321469,81.98798968,88.82728011,85.76800319,81.83240036,71.71083604,76.6700753,86.38910742,91.40626592,79.72157356,71.21744325,88.1030459,91.41242938,80.80012077,8.88044686,5.659980783,5.380182257,2.205246469,1.89047524
20,AL-FixedUncertainty-MUOB-b0.2-,0.204,91.61925213,71.23255575,70.84368874,69.78778128,71.93230599,7.483379889,70.7018,62.54709271,71.12052585,61.34320788,66.71930152,78.94056305,74.69943088,75.44024749,63.30675007,66.59552724,70.70027215,72.89610944,67.28399497,59.5609319,66.85715995,89.3566855,76.60275765,10.99657647,6.95399952,6.733422181,5.668953589,7.063947684
21,AL-VarUncertainty-MUOB-b0.2-,0.204,90.85892412,73.63247834,73.51100319,72.32840734,74.73456987,6.792346573,73.1606,65.79730717,73.08385965,62.02056944,68.94064989,78.31113513,81.42713121,78.67710436,68.98348737,65.46145109,66.67642432,81.84356954,68.29411412,56.52031063,72.87535156,94.92278719,81.06028583,9.311841196,5.157458564,7.735475273,7.281867973,4.475089856
22,AL-RandVarUncertainty-MUOB-b0.2-,0.203999,92.37040696,73.55916674,73.05812005,71.97783349,74.17163892,6.945258304,72.7855,65.22778064,72.51585397,62.80242537,70.6945564,81.24104019,76.89650352,77.43420644,64.34653413,68.69129524,74.27321476,75.14391685,68.20669421,61.37514934,72.84243911,89.66177024,78.77214171,9.976876182,6.850468412,6.660663473,4.756529259,6.481754193
23,AL-SelSampling-MUOB-b0.2-,0.203991,92.07865945,73.06918342,72.64121009,71.6170636,73.6956752,7.08393336,72.3303,64.61675337,71.84315954,62.77240533,70.4643092,80.80837017,76.15716086,76.09975151,65.05144107,68.5196589,73.60129556,74.81317097,68.06957667,60.66786141,72.54203818,89.59171375,77.60718599,10.73936154,6.559932741,6.688878483,4.923032574,6.508461462
24,OALDI-b0.2-,0.320514,88.1973284,67.32792633,68.69844272,69.37770925,68.03252749,8.215949438,68.9589,59.636673,70.46304882,57.90822186,60.95336301,77.85458604,75.6976871,66.65097636,61.11373467,64.26589356,76.99750803,77.86043364,74.74282977,55.05376344,57.97618335,78.73295669,73.65690419,18.76017298,7.055608936,6.467720827,3.600807149,5.1954373
25,OALE-b0.2-,0.314892,97.20833877,87.61870635,87.79671934,87.81474526,87.77892896,3.216130354,87.7214,84.15483732,87.50432936,81.52468425,86.44812083,91.22743575,91.89526091,86.71369922,85.31357489,83.82135995,88.92464397,94.30044829,88.31387342,78.06451613,89.24899767,93.65574388,89.61151369,6.787591219,2.705861158,3.457839571,1.785759585,1.34360024
26,CALF-MID-b0.2-,0.18228,99.14890089,94.60675716,94.51838288,94.40478946,94.63229468,1.424569746,94.5053,92.91753333,94.4822095,92.55346985,92.93809635,95.93761591,96.55812357,94.58456439,94.28863698,91.0462452,94.2526596,97.85184115,94.3808754,90.8823178,94.91173479,97.68813559,95.29840982,2.711042374,1.106894067,1.873116498,0.913000865,0.518794928
