,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
14,AL-RandVarUncertainty-ARF-b0.2-,0.204,95.23858577,77.11229401,79.46535135,80.9109638,78.07330671,5.19774878,79.9495,74.26549551,79.2692163,70.0758043,75.03541161,85.34050399,83.97070539,75.34163272,81.35662805,86.80337773,78.90859169,82.14458879,83.65199476,61.6559172,66.21019871,92.93019334,85.91822956,9.981583794,2.203401565,2.029966864,4.953775316,6.820016362
15,AL-SelSampling-ARF-b0.2-,0.203997,95.34818395,77.77658545,80.09900001,81.55264413,78.69739213,5.042270202,80.5709,75.06001151,79.77114094,71.15446254,75.6299878,85.99083363,84.54817975,75.79830581,82.50651728,87.01204475,79.91696476,82.52938804,84.2082787,62.58437078,66.93380417,93.07896163,86.68154539,9.805197463,2.05547735,2.006315132,4.662877562,6.681483501
16,AL-FixedUncertainty-MOOB-b0.2-,0.204,93.34812732,75.03193176,74.93867735,74.32613313,75.56147352,6.352591432,74.8909,68.16921896,72.16818971,63.92680524,75.60321408,86.49673,75.21321341,71.35125778,60.91522002,75.69301341,80.656832,83.01434246,73.00955235,67.26788661,75.51831458,93.25242426,68.7591898,10.67826206,6.64724344,4.864452769,4.454236963,5.118761931
17,AL-VarUncertainty-MOOB-b0.2-,0.204,94.3252987,78.95096095,78.968069,78.3957691,79.54884697,5.22235844,79.3265,73.76092747,76.43435174,65.37763103,81.35739631,89.80182288,81.11057955,76.70909372,65.17250743,77.90846554,85.4174707,86.7713081,76.16407567,65.61496925,85.13526454,94.68288863,76.14703676,8.423981993,5.399695382,4.84272199,3.2270945,4.218298337
18,AL-RandVarUncertainty-MOOB-b0.2-,0.204,94.17954459,77.69130081,77.52167585,76.84413907,78.2113621,5.607497081,77.6982,71.74902198,75.24502427,63.28717784,80.32111958,88.55507795,79.06031318,75.61723567,60.10122901,77.21441681,84.60670415,86.68110973,74.89867016,66.84040798,83.73354082,92.90489671,72.67929482,8.831457609,6.830360234,4.951856121,3.372543377,4.051268067
19,AL-SelSampling-MOOB-b0.2-,0.203994,94.26573093,77.92390713,77.80000305,77.17739172,78.43285383,5.549235118,77.9791,72.08552608,75.28574101,64.24425472,80.55085776,88.47507728,79.40991353,75.25557901,61.8225846,77.56764834,84.46562916,86.77551746,75.3399513,66.89215539,83.82032559,92.89465759,73.21717929,9.07086829,6.3729721,4.855568362,3.405997818,4.040769021
20,AL-FixedUncertainty-MUOB-b0.2-,0.204,88.79473992,64.55955161,64.8091484,64.04681495,65.59015735,8.804668501,65.1503,55.86843853,63.17676018,53.81285637,58.07463912,80.47626667,66.85904766,64.34302039,50.51324542,60.4505456,72.71622908,72.21103427,62.07229818,57.60836958,55.91333493,90.10359574,62.2531883,12.52970466,8.69014377,7.356528838,6.733575548,8.713389692
21,AL-VarUncertainty-MUOB-b0.2-,0.204,85.18967601,63.13568021,63.0993059,62.63602381,63.57010419,9.199710433,63.5161,53.7897175,65.3005245,55.25025331,59.29001363,69.42129648,64.64149827,66.45873695,56.55907222,55.79037427,63.28026897,71.09166667,64.24049447,54.07229639,63.32774719,76.93428898,59.27569392,11.83098015,6.401933861,10.08896413,8.904516949,8.772157077
22,AL-RandVarUncertainty-MUOB-b0.2-,0.204,90.52753956,69.52612798,69.57948965,68.84168761,70.3336301,7.530634012,70.0418,62.08360641,68.6748812,56.27917006,66.41192268,82.23457556,72.58738268,69.9850563,53.44378823,67.12328806,74.24469311,79.41161233,67.43772242,59.47952602,65.72839358,92.16466904,66.85783946,10.52370234,7.98352295,6.45776305,6.368574409,6.319607308
23,AL-SelSampling-MUOB-b0.2-,0.203997,90.53886807,69.71319786,69.77404534,69.04510604,70.51867097,7.491198283,70.2218,62.30235438,68.6919764,56.55324981,66.96310568,82.4144746,72.6250222,69.75389144,54.24282421,67.00167983,74.56717456,79.65996013,67.67821689,59.1120444,66.93859229,92.11768957,66.7468117,10.68999386,7.685712967,6.61251981,6.258738324,6.209026452
24,OALDI-b0.2-,0.301784,86.98109738,64.77373048,67.41412076,68.30321715,66.54803045,7.975942497,69.13,60.30493588,69.85064934,51.67681254,58.2833577,80.63397965,74.50379244,67.07675388,59.38482979,66.04167205,78.72152211,70.29130793,72.87244802,45.77246138,52.17859708,82.64470276,79.27194299,13.03021622,4.830267925,5.384070499,4.447402185,12.18775566
25,OALE-b0.2-,0.313716,96.8922638,86.51434,86.90299539,86.97098683,86.8352609,3.155448164,87.5713,84.15360275,85.74139648,77.21634287,86.76171792,92.91621253,91.52585959,84.91634967,81.41305102,84.59148008,90.85198534,93.08206802,86.58924892,73.43557822,89.05195116,95.07739565,90.02213053,5.601664279,2.58094293,3.255534745,1.906183676,2.43291519
26,CALF-MID-b0.2-,0.190132,98.79456577,92.99954945,93.02711862,92.98975001,93.06454337,1.684656048,93.3327,91.50463203,92.19987208,89.17286184,91.86730065,96.00908181,95.76447448,92.4839627,91.2887038,89.96556189,94.61881266,96.59170899,91.91833677,87.15614219,93.85324395,97.44263085,94.95236309,2.720687538,1.279855999,2.100441819,1.103996547,1.218298337
