,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent)
10,AL-RandVarUncertainty-DACC-b0.2-,0.200482874,68.10095997,0,,,30.93250121,4.771002228,73.34159028,51.86174198,80.95439264,69.02851091,32.10073662,53.3364115,65.10650172,9.787406577,17.36965331,27.07189994,,,78.08295378,69.90776571,40.97555746,67.99545329,94.28235652,11.43743262,28.98099394,88.60954721,,,84.0452583,68.17145417,26.38846622,43.88746366,49.72403101,8.569704285,12.48735245,16.05128205,0,0,23.69621079,21.47852331,1.898036008,0.446874307,0.011804217,0.133358468,0.044141712,0.000566944,0.000229139,0.000277376
11,AL-SelSampling-DACC-b0.2-,0.200477689,67.52660177,0,,,30.98506316,4.853016532,72.87703464,51.05199315,80.464266,68.55779775,32.51106558,52.99495912,65.71058139,9.276481229,17.03342875,28.76555714,,,77.73746659,69.31891754,40.8579119,68.99520469,92.54015178,10.51608177,29.34519429,93.2528054,,,83.38955926,67.81383231,27.00649219,43.02263269,50.96434109,8.34037417,12.08263069,17.23076923,0,0,23.98825165,21.96887891,1.952482308,0.418093783,0.016126377,0.142663109,0.042559615,0.000253315,0.000687418,0.000168838
12,AL-FixedUncertainty-ARF-b0.2-,0.200483357,76.5935332,0,,,21.2153179,4.669131869,75.17553645,53.54068619,83.17776986,70.40855429,8.52088193,39.0475803,3.784932553,20.89850654,2.229999242,14.73662362,,,76.44942648,73.12635265,65.65880545,88.50048877,44.3014837,83.89726906,29.63745146,70.74327279,,,91.20521941,67.88634405,4.556451613,25.05501397,1.978294574,11.94930597,1.163575042,8.358974359,0,0,28.22261437,18.26012219,0.118882863,0.070398936,0.009685511,0.004579817,0.004094129,0.000892635,0,4.82E-05
13,AL-VarUncertainty-ARF-b0.2-,0.200482271,77.11589223,0,,,23.65406992,4.11245922,77.88875074,58.85311447,85.24501156,74.6363567,8.263008996,41.13358518,3.846621588,44.8239306,2.296446045,12.3368184,,,80.72456145,74.05361507,70.97842436,89.82130446,51.41153879,93.25549232,34.41164005,60.78577231,,,90.30270067,75.22963479,4.389835666,26.69973206,2,29.70428485,1.188870152,7.025641026,0,0,21.65956367,19.29382278,0.089570495,0.0653722,0.007409416,0.004362306,0.003381581,0.001085637,2.41E-05,0
14,AL-RandVarUncertainty-ARF-b0.2-,0.200482995,76.56025847,0,,,21.37901463,4.621304015,75.36657578,53.95272072,83.27975666,70.87623078,8.834841953,37.99799478,4.182672975,22.64662961,2.382697321,15.03721108,,,77.01737631,72.85009745,65.79271999,88.1593969,41.55958671,86.34684456,29.48780268,64.88664583,,,90.65155971,69.00792179,4.73650842,24.22723904,2.204651163,13.15027158,1.247892074,8.564102564,0,0,27.17292561,18.82462535,0.123213243,0.070325013,0.012131103,0.004338138,0.004408133,0.001037387,2.41E-05,1.21E-05
15,AL-SelSampling-ARF-b0.2-,0.20048191,76.59082448,0,,,21.91974007,4.599939825,75.46504406,54.16999995,83.29696209,71.05623371,9.586411082,39.1801287,4.29071417,28.14644122,2.167101296,15.53041628,,,77.17770947,72.86042678,66.69499529,88.36507005,44.10464538,90.13018728,28.7646761,71.48543486,,,90.47133031,69.34100209,5.165855143,25.17986432,2.257364341,16.83162342,1.129848229,8.820512821,0,0,26.87556657,18.90403634,0.128619888,0.071581697,0.011344155,0.003601017,0.003743894,0.00086851,3.62E-05,0
16,AL-FixedUncertainty-MOOB-b0.2-,0.200482874,68.09059245,0,,,29.27355071,5.855037008,65.57537919,39.94114532,72.37496193,63.79046573,30.80858752,39.80101922,34.24561113,36.0282745,12.90830148,8.422584031,,,78.46328631,60.0411724,32.79860845,39.23872343,39.09650924,50.69528144,19.37045921,17.60884878,,,67.71123829,68.86486733,30.65733414,41.00450373,35.00155039,30.86904043,11.65261383,6.974358974,0,0,18.74643138,34.4109446,3.323161583,1.370524604,0.511927707,0.08104705,0.092220552,0.011133816,0.001531615,0.00144718
17,AL-VarUncertainty-MOOB-b0.2-,0.20048203,79.90032828,0,,,36.72528196,4.855493311,72.09355753,50.50799033,79.62661309,68.4550727,36.48410779,47.14916036,54.34708495,48.42627978,16.33927651,18.95302307,,,79.02429726,68.42277947,42.61521444,44.60211238,53.4654202,49.32291267,14.5164686,37.90142708,,,80.25425605,68.50793035,31.93421587,50.13568212,56.56434109,47.83343392,18.9460371,13.07692308,0,0,21.42759413,23.13882304,2.149565253,1.356257546,0.208044786,0.099209226,0.162726521,0.0064897,0.003630049,0.002592864
18,AL-RandVarUncertainty-MOOB-b0.2-,0.200482513,81.10013974,0,,,35.90936307,5.250111896,69.44054578,46.342126,77.72823211,65.20476789,37.8283527,42.34962316,44.02841564,38.09916323,14.73951699,18.21533943,,,77.06459313,66.43186155,39.31028993,37.35283541,41.12647973,36.29016392,11.11916628,19.9433057,,,78.41653711,64.03603043,36.52211402,49.01887008,49.38914729,40.35606518,22.17537943,19.17948718,0,0,23.46963196,23.67851287,2.823116633,1.789320652,0.305904772,0.144221939,0.255889084,0.02472841,0.005849082,0.003943565
19,AL-SelSampling-MOOB-b0.2-,0.200482151,80.24756953,0,,,35.97520231,5.220554591,69.67276933,46.67939892,77.92055315,65.42759806,37.54102076,43.20412771,45.83348823,36.89259415,14.52864749,17.58487716,,,77.10873046,66.69229898,39.56496693,38.64262152,42.99135229,35.62201424,11.11223798,18.88932257,,,78.77461338,64.2318207,35.78743153,49.09868309,51.2372093,38.82920941,21.38279933,20.41025641,0,0,23.51200822,23.49285155,2.735078232,1.697397925,0.307502881,0.145539089,0.253207973,0.036236167,0.023468686,0.002255188
