,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),F1 Score for class 7 (percent),F1 Score for class 8 (percent),F1 Score for class 9 (percent),F1 Score for class 10 (percent),F1 Score for class 11 (percent),F1 Score for class 12 (percent),F1 Score for class 13 (percent),F1 Score for class 14 (percent),F1 Score for class 15 (percent),F1 Score for class 16 (percent),F1 Score for class 17 (percent),F1 Score for class 18 (percent),F1 Score for class 19 (percent),F1 Score for class 20 (percent),F1 Score for class 21 (percent),F1 Score for class 22 (percent),F1 Score for class 23 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Precision for class 7 (percent),Precision for class 8 (percent),Precision for class 9 (percent),Precision for class 10 (percent),Precision for class 11 (percent),Precision for class 12 (percent),Precision for class 13 (percent),Precision for class 14 (percent),Precision for class 15 (percent),Precision for class 16 (percent),Precision for class 17 (percent),Precision for class 18 (percent),Precision for class 19 (percent),Precision for class 20 (percent),Precision for class 21 (percent),Precision for class 22 (percent),Precision for class 23 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),Recall for class 7 (percent),Recall for class 8 (percent),Recall for class 9 (percent),Recall for class 10 (percent),Recall for class 11 (percent),Recall for class 12 (percent),Recall for class 13 (percent),Recall for class 14 (percent),Recall for class 15 (percent),Recall for class 16 (percent),Recall for class 17 (percent),Recall for class 18 (percent),Recall for class 19 (percent),Recall for class 20 (percent),Recall for class 21 (percent),Recall for class 22 (percent),Recall for class 23 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent),FalseAlarmRate for class5 (percent),FalseAlarmRate for class6 (percent),FalseAlarmRate for class7 (percent),FalseAlarmRate for class8 (percent),FalseAlarmRate for class9 (percent),FalseAlarmRate for class10 (percent),FalseAlarmRate for class11 (percent),FalseAlarmRate for class12 (percent),FalseAlarmRate for class13 (percent),FalseAlarmRate for class14 (percent),FalseAlarmRate for class15 (percent),FalseAlarmRate for class16 (percent),FalseAlarmRate for class17 (percent),FalseAlarmRate for class18 (percent),FalseAlarmRate for class19 (percent),FalseAlarmRate for class20 (percent),FalseAlarmRate for class21 (percent),FalseAlarmRate for class22 (percent),FalseAlarmRate for class23 (percent)
67,AL-VarUncertainty-ARF-b0.3-,0.311691393,70.01211491,12.09512249,13.67933016,13.22544215,14.16573423,3.731915046,14.1659984,10.43403517,25.60738987,20.49708765,18.4639009,16.601955,22.34306388,11.97834268,14.18055309,11.859629,9.073858296,8.011566549,13.282946,9.582420061,9.959079872,7.064084051,8.809358818,7.204101437,7.950012489,6.588645735,11.7915137,10.04459223,12.64385912,11.29599934,20.88311983,22.83466104,19.2374023,18.31977644,15.3980187,16.99440545,18.48992876,13.67380545,13.80189147,13.3321473,9.525522532,9.939855333,13.21585236,11.8076837,10.37868674,8.872983331,8.95963378,9.291693691,8.866414684,8.723695134,12.76350437,12.79472849,12.32049403,12.27638075,16.99305614,21.43305066,38.44426624,23.36006415,23.11146752,16.28708901,28.41218925,10.68965517,14.6474359,10.7457899,8.748997594,6.741573034,13.3680834,8.091419407,9.591018444,5.886126704,8.684843625,5.918203689,7.217321572,5.300721732,10.99438653,8.323977546,13.01523657,10.48917402,27.24939856,24.65918204,7.028346292,4.516230257,5.511662773,3.46257104,5.436351592,2.937136083,3.985704324,3.027439768,3.625745267,2.654975246,3.82239113,2.639377985,3.605871483,2.615320247,3.837034971,2.506188766,3.231058889,2.411701126,3.266622503,2.438199505,4.025661588,3.257208605,5.783968481,3.939193194
68,AL-RandVarUncertainty-ARF-b0.3-,0.311694734,70.40950071,12.20512331,13.68756692,13.26718395,14.13566452,3.733222715,14.13592622,10.40265181,25.23057259,20.43709439,18.67562926,17.9541921,22.31630464,13.16811983,14.66269053,12.13130516,8.372366368,8.991861365,13.67356239,9.313819044,9.460459504,7.167516282,8.88079371,7.761161499,7.587064205,6.261875134,11.34652519,10.12933583,11.84610898,11.35473187,20.85559578,23.66680804,19.78299501,18.71385911,15.88520907,17.76005812,18.67288046,14.32992823,13.97843725,13.52900229,8.913520263,10.9846449,13.60918451,11.4670512,9.752533808,8.803321781,9.012258671,9.177330702,7.975551815,8.238160857,11.86750366,12.30984319,11.82016368,12.41611854,17.1918204,22.22103724,34.92381716,22.57417803,22.7265437,18.26784282,27.78668805,12.21331195,15.48076923,11.02646351,7.923015237,7.64847512,13.76102646,7.850842021,9.222133119,6.054530874,8.781074579,6.7361668,7.249398557,5.060144346,10.88211708,8.620689655,11.90056135,10.49719326,26.59983962,25.4691259,6.146926537,4.268330951,5.221575259,3.689201911,5.255744221,3.175970154,4.152022315,3.060911405,3.539974199,2.69576738,3.796590077,2.637634671,3.703497089,2.728984345,3.855514103,2.88588264,3.635159165,2.459816603,3.50127262,2.670060319,3.854468115,3.216415048,5.571632788,3.873993236
69,AL-SelSampling-ARF-b0.3-,0.31168471,70.53881256,12.28109047,13.66490759,13.25576691,14.10023575,3.734762378,14.10050789,10.36569855,24.37476989,20.98954979,18.18544992,18.69196219,21.2925791,12.90312228,15.31487097,12.88242631,7.786045394,9.158826418,13.26531048,10.03401487,9.506566318,6.767561785,8.773814496,7.508711586,7.7555987,6.517105472,11.45794787,10.89875086,12.20064997,11.24892483,20.86496166,23.60927306,19.42908627,19.06939235,15.89763232,17.62608427,17.98245586,13.54123223,14.67127369,14.2636893,8.529240688,10.91893696,13.7409032,11.75491248,10.13126243,8.015114065,8.805427812,8.670095324,8.19721366,8.470432229,12.33848645,12.80315687,12.27513726,11.69888386,17.67920783,21.62914845,32.81475541,23.39214114,21.30713713,19.92782678,26.19887731,12.33360064,16.05769231,11.77225341,7.193263833,7.913322632,12.88692863,8.789093825,8.98957498,5.870088212,8.765036087,6.6319166,7.377706496,5.316760225,10.72173216,9.510825982,12.16519647,10.86607859,25.50922213,26.09462711,5.926222935,4.307381193,4.894180817,4.043443395,5.184965657,3.424218123,4.075313808,3.070673965,3.341933684,2.800711247,3.519403089,2.851713678,3.460827726,2.930860151,3.932219937,3.037550992,3.580767756,2.513162024,3.304975419,2.810571458,3.779156933,3.558104669,5.170670479,4.115267947
70,AL-FixedUncertainty-MOOB-b0.3-,0.311714782,74.94837548,0,,,15.5509197,3.671697306,15.55098904,11.87926638,31.30265454,26.31310261,24.08842908,2.886714933,27.47342681,,3.424049418,3.973047298,,,18.58815465,,13.56499977,,,,,,1.480753104,5.264562526,4.845404446,6.075873368,24.36015456,23.10900485,20.65853363,20.8236392,16.25710432,24.44443897,18.12561334,,9.913357372,24.80311793,31.66666667,0,13.02545195,,8.740226658,,,,,,17.54108871,15.6849156,8.803051975,6.723030622,15.06113989,22.94962094,64.58700882,35.74979952,46.53568565,1.547714515,56.76824379,0.008019246,2.075320513,2.165196472,0.06415397,0,32.71050521,0.008019246,30.67361668,0,0,0,0,0.040096231,0.793905373,3.183640738,3.376102646,5.645549318,63.74498797,23.54450682,10.78623479,5.911927757,10.42467139,0.215822321,11.15023883,0.001743314,0.818688982,0.290087514,0.006624595,0.008018967,9.526515812,0.016387155,13.96394826,0.002789303,0.000348663,0.00244064,0.005229943,0.004183955,0.18653464,0.745789896,1.558871727,3.425961438,15.63439211,3.433283358
71,AL-VarUncertainty-MOOB-b0.3-,0.311614542,74.40034922,0,,,14.12754429,3.733604954,14.12690457,10.39347917,30.31329027,24.42643537,20.81556478,14.81263814,18.36530929,14.27885426,8.84681506,3.870228027,10.73382487,17.00705211,8.292140272,,,,,,,,1.579484836,4.221475122,4.824250382,4.611408542,24.62686158,20.60289073,21.78965847,19.1883571,15.62682151,17.46587924,17.71394853,12.93889002,10.91003304,15.25083896,6.536856033,12.72253857,14.46224368,,,,,,,,13.07431968,13.21640964,8.88877749,7.496576705,15.7474797,18.21278951,50.25661588,34.33841219,32.638332,15.13231756,22.34161989,17.93905373,7.65224359,2.317562149,30.36888532,26.79775281,6.880513232,0.008019246,1.820368885,0,0,0,0,0.040096231,0.866078589,2.534081796,3.319967923,3.344025662,56.49558941,23.96952686,7.859907256,6.319514661,7.66047209,3.112513511,4.350964053,5.066071615,2.740585774,0.600746139,18.91252048,8.172024266,2.076287438,0.019176458,0.595516195,0.012551864,0.000348663,0.019525121,0.003137966,0.005578606,0.267424427,0.696977093,1.491928454,1.778180677,13.14354451,4.701021582
72,AL-RandVarUncertainty-MOOB-b0.3-,0.311668003,74.81272209,0,,,15.73670587,3.663619699,15.73676824,12.07312835,31.09361551,27.87894235,23.7800048,14.48086138,25.02507563,,3.294961372,4.68771636,,,19.19482969,,11.44105938,,,,,,1.489765659,5.563111762,5.041774491,8.848693798,24.28742155,27.00621268,21.73322258,20.58428635,16.37978368,17.72323232,18.07140815,,11.28332513,20.61439878,5.590110347,4.085561497,12.38509079,,9.699060181,,,,,,18.33180447,15.81572947,8.002125579,7.541611536,15.74455335,21.55955017,54.67522053,43.35204491,43.88131516,15.42101043,42.46992783,0.23255814,2.019230769,2.702485966,1.283079391,0.152487961,43.35204491,0.449077787,15.87810746,0.128307939,0.088211708,0,0,0.040096231,0.793905373,3.392141139,3.913392141,12.85485164,53.61668003,36.98476343,8.56316028,7.28496217,9.757330637,2.998152087,8.324674872,0.096579617,0.678870293,0.477668143,0.863637948,0.040792134,13.38551654,0.16596353,6.502911335,0.055437398,0.047766814,0.00488128,0.00244064,0.005578606,0.172239462,0.790767407,2.22795579,7.13712911,12.484223,5.858233674
73,AL-SelSampling-MOOB-b0.3-,0.311704758,74.88412664,0,,,15.68224986,3.665987544,15.6823042,12.0162998,31.08715587,27.59755091,23.35733467,11.36994048,26.30050068,,3.220445089,4.591185415,,,19.11633486,,12.50226092,,,,,,1.550856756,4.920548875,4.866943044,8.462287342,24.24600445,27.66074048,21.4214499,20.43870517,16.22284123,16.25897592,18.58630126,,12.696022,21.41954237,12.5,4.114285714,12.99570047,,9.086027956,,,,,,15.17968767,15.04767456,8.365680489,6.760149004,15.62670852,22.16351419,56.84843625,42.67842823,42.22935044,10.65757819,48.07538091,0.072173216,1.947115385,2.630312751,0.024057739,0.321027287,37.36968725,0.489174018,21.44346431,0.080192462,0.425020048,0,0.008019246,0.040096231,0.858059342,2.999198075,3.720930233,11.66800321,54.25020048,37.53809142,9.076392037,7.236846693,9.497576793,2.413444441,9.233290332,0.042188208,0.657601116,0.459886336,0.008019246,0.127954815,10.98497263,0.189672606,9.385307346,0.024057739,0.162476901,0.004183955,0.003835292,0.007670583,0.230117499,0.72452146,2.127540881,6.90213033,12.74606883,5.737944981
74,AL-FixedUncertainty-MUOB-b0.3-,0.311714782,74.12728808,6.522932491,,,14.89060487,3.70040517,14.89073777,11.19027955,28.75590323,23.99275304,20.65655506,15.94320224,23.20215581,7.105840193,8.206658082,3.061224909,,,14.305783,8.465734009,7.135480898,,2.896729437,4.179801943,,,2.241534009,,,9.710097429,22.42150913,27.30887554,19.73661947,21.22508469,15.83072718,15.71688869,17.44005276,11.14298035,10.85767074,11.61978843,,,13.92294862,9.106952901,9.357345824,,11.39430053,7.659891916,5.178838117,,9.733741722,,7.280551657,7.826216448,14.94412722,22.98263063,53.61668003,30.48115477,34.22614274,21.44346431,40.32878909,7.47393745,7.003205128,1.948676824,0.27265437,3.025682183,17.76263031,9.8957498,8.901363272,5.100240577,2.854851644,3.624699278,0.785886127,0.425020048,1.403368083,2.477947073,3.09542903,16.30312751,46.46351243,38.46030473,9.526515812,5.057006381,7.959624839,4.920679195,8.146508141,2.477947073,2.489539749,0.663505457,0.232906802,0.793529043,5.062933649,3.513127157,3.766256407,2.512464698,1.176039887,1.750984973,0.485687389,0.280673617,0.511488442,0.64328301,1.608381856,7.819462362,11.53202469,5.879153447
75,AL-VarUncertainty-MUOB-b0.3-,0.311688051,71.45797963,6.771630188,,,11.97134386,3.827321199,11.97173216,8.144290847,14.63436286,,7.955989974,,,8.26872937,10.81338979,,,,,,,,,,,,,,,12.7553026,,,11.64070364,7.919682445,8.912483439,,,10.17081529,12.96379348,,,,,,6.770590107,,,,,,,,,9.16444057,10.76239138,,24.77947073,7.465918204,13.54450682,33.08740978,38.50040096,15.61347233,15.05608974,8.396150762,0.785886127,3.434991974,5.589414595,5.661587811,3.271852446,1.651964715,0.914194066,3.809141941,2.919005613,0.617481957,5.669607057,4.691259022,8.612670409,25.22052927,24.29029671,33.72894948,7.393396325,3.821345141,4.637216276,8.205083505,9.597294376,5.314668247,4.600069735,4.239043269,0.57424776,1.016665504,1.29632858,1.835710052,1.321083644,1.05644852,0.642934347,1.75063631,1.760747533,0.592029567,1.617098428,1.182664482,3.537184896,10.6997664,7.002893902,8.161151982
76,AL-RandVarUncertainty-MUOB-b0.3-,0.311694734,71.41571535,7.066243016,,,12.4041542,3.808506694,12.40443732,8.595839843,17.14256685,9.670613113,,17.62630645,19.32754929,10.16378602,10.1258255,7.149134543,,,,,3.816362241,,,,,,,,,11.41742374,15.58303176,20.92752659,13.51872596,12.24641225,8.358392285,14.037683,14.8813759,12.32475632,11.79601284,9.718588835,5.834092374,,13.09661398,8.644220342,8.775088404,,,,5.174158292,1.551742543,,,,9.264125576,15.95837219,18.73924101,26.63993585,12.95910184,14.29029671,36.36728148,34.98797113,17.40176423,11.23397436,8.075380914,0.633520449,2.760834671,4.771451484,3.945469126,3.103448276,5.573376103,0.689655172,5.164394547,2.790697674,0.56936648,7.016840417,6.760224539,7.401764234,22.59823577,27.48997594,34.47473937,7.278686238,4.520762874,5.028416025,9.09382518,8.300617133,5.620096928,3.623430962,3.767302395,0.508001813,0.891499895,1.185453785,1.454621526,1.2454238,2.897737178,0.548098044,2.507583418,1.943098218,0.602489453,1.862557094,1.615703776,2.338830585,9.412851714,7.675464593,7.481608033
77,AL-SelSampling-MUOB-b0.3-,0.311708099,71.84244689,7.247296933,,,12.46112889,3.806024622,12.46157445,8.655410157,16.34250211,,,18.06696861,18.39547335,12.26348673,13.21639769,,,,,,,,,,,,,7.380040627,,11.59418642,17.12902607,,13.67689985,13.20791431,9.416975508,19.10035899,14.19897942,11.57887536,12.24965009,,,,10.74162245,9.741071602,7.940266031,,,,4.148408622,1.741394724,16.12458198,16.37446508,,8.933968887,14.23248926,15.78579824,24.33039294,12.66238974,18.2117081,30.18444266,33.37610265,19.23015237,17.63621795,6.142742582,1.154771451,4.30176565,5.276663994,6.134723336,2.822774659,4.27425822,1.106655974,4.394546913,1.226944667,0.665597434,4.763432237,5.629510826,7.594226143,22.02886929,31.10665597,34.81154771,6.218053764,3.368780726,5.797566333,7.122833932,8.352219239,6.229908302,5.64958159,3.249538022,0.717548203,1.437486926,1.446253617,2.058156968,1.120253827,2.477249747,0.641191032,2.423904327,0.949409016,0.771590949,1.249956417,1.1533768,2.915867648,9.805097451,8.815592204,7.373173878
78,OALDI-b0.3-,0.446311147,77.17227168,13.55964705,18.61073964,17.75077726,19.55857865,3.49743856,19.55894146,16.06146707,34.64691738,33.70815705,23.35010199,24.58980683,26.4022635,18.51173151,21.81934391,11.70619669,8.070407325,12.01631376,16.93776768,12.86340704,10.12626767,7.938273779,5.91668832,4.817427709,5.040655043,5.060204473,10.13153,14.521294,16.33971099,16.95873808,29.05900552,33.81404853,25.04635866,26.30882874,20.1419489,21.80154152,23.25205479,18.87828526,23.55899548,22.49555133,14.87761689,16.97413379,18.46218131,14.77770383,13.33379299,11.38462762,12.48788822,12.23971865,11.33654285,11.89440546,16.94581424,16.10479194,14.06210737,12.45301461,21.46725958,25.73349026,56.27906977,47.11307137,27.93103448,28.38813152,30.61748196,18.25180433,20.41666667,8.003207698,5.685645549,9.55858748,16.14274258,11.49959904,8.299919808,6.174819567,3.969526864,3.071371291,3.287890938,3.2638332,7.385725742,13.38412189,19.60705694,26.68003208,45.00400962,49.39053729,7.33098567,5.761305394,4.829329521,4.453122276,4.395244238,3.430494055,2.884937238,1.209860186,1.423241867,2.036468865,3.175621492,2.88100136,2.352428437,2.109759074,1.20916286,0.924653952,1.118510512,1.05156724,1.575956208,3.024999128,5.244587009,8.155922039,7.159094871,6.200271957
79,OALE-b0.3-,0.488626036,76.35471642,7.960966921,16.29170725,15.41892238,17.27886712,3.596573471,17.27880246,13.68223773,31.56692267,28.47915035,19.77908967,24.30310777,22.76951775,8.10360185,7.948412691,7.258063459,,9.519603425,17.43647789,13.21383886,9.337783884,5.650143619,,,,,3.508036368,10.3086954,14.34147264,14.4181461,26.14591379,31.48551284,21.79657745,20.48627151,17.43748968,18.20196917,20.42143772,13.80158139,13.9569603,21.04578048,12.1731949,15.77584226,17.76134411,14.60702302,10.44217787,10.80846892,9.151089821,8.546596573,7.10155256,12.80111872,17.66527299,22.03597652,13.03725277,10.24912165,17.88301844,22.8670184,57.24939856,46.82437851,23.89735365,37.12109062,26.26303128,6.038492382,5.697115385,4.426623897,0.745789896,7.632423756,19.02165196,13.48035285,9.83159583,4.009623095,1.170809944,1.170809944,0.681635926,0.601443464,2.012830794,6.976744186,16.18283881,24.4105854,48.63672815,50.60946271,8.932394268,7.915693316,4.985181828,7.282870193,4.475785363,1.624769011,1.535216179,0.729054078,0.194205223,1.765915905,3.988005997,3.650151668,3.874690562,1.404065409,0.378647885,0.433387957,0.279278965,0.149925037,0.411770859,1.13524633,4.731355253,9.298838953,9.710609811,7.430703253
80,CALF-MID-b0.3-,0.300010024,75.44961977,4.719306972,14.70086905,13.84404321,15.68070345,3.666048891,15.68096766,12.01483159,30.98816956,26.31895562,21.33437672,7.530210822,28.10640943,2.895651772,9.8806489,4.104014365,2.095317524,1.592830404,18.94455578,0.851277811,10.95982208,,6.63431668,,2.610298388,,7.083243685,6.0150262,9.359299764,9.537419195,25.73128039,27.56883939,20.53361267,23.2967103,15.23451519,19.63196182,19.2088824,16.85963448,11.34344796,24.67439255,8.718505923,14.2452259,13.92646974,9.343983439,8.78709,7.234126984,10.14415741,5.745181913,9.856843121,6.441495702,14.71668996,15.11459993,6.948796494,9.47463138,16.43722664,24.33885502,63.17562149,30.28869286,35.59743384,4.683239775,52.45388933,1.595829992,8.766025641,2.25340818,1.202886929,0.858747994,29.67923015,0.449077787,14.69125902,0.16840417,4.971932638,0.112269447,1.51563753,0.208500401,4.755412991,3.761026464,14.39454691,9.679230152,59.23015237,31.84442662,10.63526376,4.335622886,8.610229769,0.838185558,9.601826993,0.336111014,2.976290098,0.308217984,0.539381472,0.218604003,7.994491127,0.184094,6.681426728,0.083330428,1.914856525,0.058226701,0.594470207,0.103204212,1.218925421,0.920469998,8.368606394,4.058784561,13.09542903,4.309124508
81,OALDI-b0.1-,0.211918605,65.26797889,15.53788205,17.62442924,17.13195973,18.14620214,3.558847149,18.14655172,14.58766224,30.60031952,27.47516999,21.76864884,24.39044261,24.21570136,19.76361991,21.64069823,16.97716596,9.954502645,13.70443715,16.24194348,14.18819585,10.55281837,9.640752576,9.882010225,8.925929113,7.51570499,8.951233984,12.62928516,14.41055699,14.67090659,16.54822084,25.25916503,29.72774512,24.6552094,23.58628022,18.91464651,21.75635715,22.98409105,18.54327621,21.39960341,18.21624291,12.13911722,17.21572396,18.57022235,16.70389625,12.59153461,11.35233526,13.0246717,11.29748801,11.28012869,11.73494234,14.90938448,16.19240586,13.78316081,14.36131318,20.95787916,24.99712285,40.36888532,33.4723336,25.93424218,27.8989575,25.6936648,21.29109864,22.03525641,16.03047314,8.660785886,11.57303371,14.80352847,12.6222935,9.374498797,8.604651163,8.155573376,7.489975942,5.701684042,7.353648757,11.22694467,13.13552526,15.76583801,19.69526864,31.90056135,36.72012831,5.369059656,4.802133817,4.871169067,4.37606778,3.75823716,4.059133224,3.518828452,3.160628988,2.824517974,2.436719894,2.940622712,2.765593947,2.829399254,3.011401276,2.399149263,2.591959834,1.968899271,2.421463687,2.88832328,2.990481503,4.291342701,5.113141104,5.23377846,4.790279279
82,OALE-b0.1-,0.28110131,76.30982516,10.29650684,16.98798221,16.45519463,17.56457,3.584152243,17.5644881,13.98034727,31.02943451,28.57504069,20.27015767,23.47562766,22.34737377,10.43024481,9.383719133,8.726426402,3.755361808,11.18879149,16.0914196,12.65094316,12.63372566,6.680263927,4.470620856,3.631806314,3.110489349,3.27637171,4.290386283,10.55901273,14.51741046,15.34141728,27.4795841,30.81492389,21.44455759,21.36289573,16.9803227,18.08674598,20.19927438,15.08487266,15.97476776,20.64217618,14.7526227,17.07282908,17.39093909,17.9527231,11.6360292,10.8880469,11.66790011,12.50373757,11.42998478,15.5270867,19.95496546,17.5166804,14.04444391,11.23656702,19.13405527,22.44044691,56.20689655,43.42421812,25.5733761,34.60304731,26.4234162,8.139534884,7.011217949,5.765838011,2.25340818,9.462279294,15.37289495,10.24859663,14.49879711,4.995990377,2.967121091,2.269446672,1.91659984,1.964715317,2.453889334,7.778668805,15.39695269,24.49879711,48.99759423,49.32638332,8.956800669,6.969073603,5.43495694,6.831003103,4.597468708,2.035493881,1.769525802,1.065862418,0.567274502,2.078306952,3.17666748,2.093720582,4.748439734,1.772253408,1.003451762,0.743697918,0.640493707,0.490220006,0.419441442,1.565844984,4.173145985,8.436944319,9.027230571,7.422335344
83,OALDI-b0.15-,0.268805132,71.44928325,15.69051619,18.4776928,17.81320769,19.1940501,3.51328846,19.19439989,15.68107102,32.67291881,31.53874902,21.98976681,24.28263964,26.06618772,20.87028558,22.59824252,16.21084923,10.10770194,14.79028607,15.68632848,13.86950162,11.06153918,9.536551278,8.95251576,8.938098614,7.460028224,8.370879818,12.38748281,14.68517172,15.32117237,16.37138873,26.76882241,32.47114072,25.42474959,25.96269641,19.44961456,21.66703881,23.33537262,19.5610871,22.13683148,19.56746312,14.08997556,18.09255844,17.45981085,17.07901717,13.09940946,12.09233209,12.35995903,13.16502039,12.17507529,13.23432137,16.56846663,16.15853116,14.21310452,13.64945574,21.34551123,25.62958186,45.797915,40.28067362,25.4691259,27.81074579,29.60705694,22.51002406,23.13301282,13.96952686,7.995188452,12.66452648,14.35445068,11.87650361,9.847634322,8.003207698,7.121090617,6.864474739,5.565356856,6.271050521,10.07217322,13.62469928,16.82437851,20.52927025,36.07858861,44.38652767,5.839405878,5.000174331,4.60862592,4.387573655,4.226840068,4.032286182,3.54846583,2.494334228,2.124402915,2.51690956,2.971653708,2.553258255,2.909591716,2.514905338,2.216101252,1.964366654,1.756912242,1.823506851,2.23771835,3.09786967,4.451378962,5.652871239,5.785363132,5.604407099
84,OALE-b0.15-,0.332838813,76.427566,9.758265772,16.8714645,16.3749892,17.40516418,3.59108203,17.40510559,13.8140321,31.10875057,28.36586902,20.91243429,23.56094778,23.46522411,9.44871712,9.918435638,7.749528357,3.082210827,11.42085721,16.73903029,12.90690821,11.03986267,7.128450721,4.243805587,,2.808403509,3.080072945,4.308454427,8.523566344,14.69425703,14.6017279,27.38557305,30.20528003,21.63616615,21.28988193,17.09659767,19.09535607,19.55414076,15.4068872,14.91715936,20.62561872,18.07777641,16.41707347,16.93361764,15.23939069,11.84497032,11.46559893,11.13376783,10.75093536,12.47460177,14.06971505,21.4938676,18.18068686,13.63448687,10.57312777,18.85361327,22.23470302,55.44506816,42.85485164,27.38572574,31.39534884,30.521251,7.217321572,7.548076923,4.963913392,1.740176423,9.30176565,17.00080192,11.4755413,11.34723336,5.372894948,2.92702486,1.307137129,1.700080192,1.908580593,2.606255012,5.717722534,16.23095429,23.77706496,50.32878909,47.65036087,8.734353753,6.920609463,5.796520344,5.763048708,5.563613542,1.741222412,1.889470014,0.916286043,0.375161257,2.120493689,3.706635055,2.880652697,3.887591088,1.823158188,0.989505247,0.422230745,0.547052055,0.540078798,0.459886336,1.124786444,4.543425961,8.743070325,9.426798229,7.270318329
85,CALF-MID-b0.15-,0.150026731,73.12149363,0,,,14.63350887,3.711588888,14.63345362,10.92186853,30.73051996,26.07543324,20.41486003,7.917656563,27.82922114,9.013244568,7.183590245,,1.918264473,9.268878719,15.08257961,,12.10622154,1.057817185,0.976560076,,1.405604303,1.356448054,2.197019266,10.01461588,5.793605784,11.25488182,23.36826064,9.371815529,20.68248627,18.53745197,15.88190348,18.48267833,18.88123811,13.7352043,12.34764531,26.92418214,8.70240365,15.33141571,11.3036018,2.833333333,8.821032803,5.937933254,10.32579284,,11.96249127,9.389635922,10.90259136,17.16384126,11.14337402,7.600413689,14.8005157,17.04454399,59.77546111,43.9935846,28.62068966,5.044105854,52.91900561,6.752205293,5.072115385,0.216519647,1.090617482,6.725521669,22.88692863,0.032076985,19.45469126,0.585404972,0.513231756,0,0.761828388,0.73777065,1.226944667,7.193263833,3.929430634,21.70008019,55.50922213,6.46351243,9.966877027,8.408353963,6.591123043,0.968236812,9.887033228,1.85244587,1.566248257,0.030682333,0.502074544,1.625061014,7.803423869,0.023709076,8.728775147,0.384226491,0.182699348,0,0.228025522,0.297060772,0.433039294,1.490533803,1.374429065,11.47100868,13.89491301,1.368153133
86,CALF-MID-b0.35-,0.350006683,75.90430971,6.016190285,15.14736473,14.77109889,15.55011011,3.671738653,15.54998663,11.87827312,30.42182941,26.90102121,21.60689716,5.605563955,27.6614112,6.612112473,9.209419819,5.001021355,1.671909192,12.26616566,14.4970836,1.288741617,9.796514467,2.111582441,2.450604149,,1.678684317,2.680094075,8.340198911,5.319977832,11.40276733,13.26503604,24.21085848,26.24754722,20.56761878,19.49890259,16.25619835,20.70863194,19.51616133,12.5440972,13.03573824,26.79125299,9.294068134,14.53983409,11.64586243,10.28718518,8.145684588,9.856692904,11.17602773,13.61854812,10.29911468,13.59386701,18.7969547,13.99457318,11.21252914,8.881697958,16.06647823,24.17865395,58.41218925,43.38412189,32.27746592,3.255813953,47.51403368,4.506816359,7.139423077,2.766639936,0.922213312,10.83467095,19.39855654,0.689655172,12.38171612,1.210906175,1.387329591,0.152365678,0.922213312,1.491579791,5.38893344,3.295910184,11.66800321,26.27105052,49.15797915,28.77305533,9.809281406,7.790523343,7.228827447,0.551584673,8.522018061,1.358739235,2.077754533,0.328091768,0.389107772,2.806289659,6.410515672,0.254175238,6.08556187,0.464418953,0.483595412,0.038701579,0.347616889,0.408981556,1.013911649,0.881768418,4.04658136,11.71995398,11.17987518,3.923852027
87,CALF-MID-b0.4-,0.4,75.97891941,6.735000185,14.53188988,13.75713452,15.40696101,3.677957481,15.40697674,11.72901965,29.01602421,26.77577702,19.70085909,23.15042875,21.77206076,6.529030426,9.006479303,7.959040878,,8.296862362,13.01940414,8.458201114,5.211511143,1.809604888,2.292440392,2.138009119,,1.44424564,4.449141983,12.52661341,10.51761737,11.76863022,24.54693141,29.56141321,19.88927959,19.76900479,15.77868234,19.17637251,18.13821219,13.38780256,14.21684177,20.95013489,7.636923403,12.94997831,12.49613773,8.108313965,6.774833721,10.00755362,9.747380572,11.39618259,8.978618849,10.23300948,19.23061101,14.59063376,9.886624771,7.878645056,17.36050358,21.58894742,53.65677626,41.52365678,26.25501203,29.31034483,27.31355253,4.338412189,6.626602564,4.931836407,0.296712109,6.155698234,13.88131516,8.949478749,4.314354451,1.002405774,1.315156375,1.24298316,0.593424218,0.801924619,2.566158781,11.21090617,11.3712911,23.25581395,41.94867682,46.90457097,9.401345839,7.336564276,6.098113734,5.378473554,5.372894948,1.22729333,1.7472106,0.807503225,0.160384924,1.78265114,4.264146996,4.408493428,2.622642167,0.406889578,0.503817859,0.418744116,0.212684355,0.294271469,0.473484188,2.868449496,4.558069802,11.82559883,8.690422231,7.410829469
