,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
14,AL-RandVarUncertainty-ARF-b0.2-,0.204,96.71655805,66.45703653,80.9062565,86.850332,75.72455514,4.218929533,85.2309,80.01399042,83.4529832,88.63341394,92.11398255,90.21821598,32.23623003,75.25768745,91.21457757,96.92752746,89.609574,81.24229353,93.65972889,86.2108102,87.77004705,90.84833483,20.13385471,15.40806529,3.034118658,0.697433206,1.62412886,0.330901651
15,AL-SelSampling-ARF-b0.2-,0.203992,96.6774578,67.75132017,81.2754919,87.10308199,76.18390333,4.160018405,85.4262,80.28941331,83.61549655,88.96237138,92.10484435,90.11395812,34.65703106,75.40631996,92.02939473,96.96211702,89.11962287,81.99795538,93.84716891,86.10143462,87.72750025,91.14986499,22.0935479,15.32465194,2.72239881,0.688935543,1.717242812,0.346862915
16,AL-FixedUncertainty-MOOB-b0.2-,0.204,95.51014024,78.8210847,79.05101372,78.47969507,79.63081894,4.843169277,81.5769,75.70662955,80.90985866,82.58556828,84.598014,87.43649576,59.45703379,82.46265513,83.09018586,84.56285608,83.13971284,59.14306547,79.41608685,82.0942428,84.64911403,92.20972097,59.78493006,8.451152184,6.086244765,3.856314514,2.879263396,2.942871528
17,AL-VarUncertainty-MOOB-b0.2-,0.204,95.13118173,80.52792314,80.84513302,80.48003232,81.21439369,4.504957293,83.0369,77.58473091,81.94441729,83.19395482,87.16642195,89.61821045,62.09028382,81.57916015,85.39777677,87.37350113,86.58832622,61.46139734,82.31705854,81.11510657,86.97116829,92.89678968,62.77184539,9.302838454,5.055045496,3.140761291,2.222850418,2.803290806
18,AL-RandVarUncertainty-MOOB-b0.2-,0.204,95.36400866,78.85737452,78.48295292,77.63647572,79.34847737,5.009233493,80.8839,74.81929238,80.4905834,81.84878815,84.54116313,86.42037901,58.6217728,81.26910324,83.6834088,84.9986549,83.94670174,54.28450995,79.73128599,80.09776379,84.10001001,89.06990699,63.74342006,9.194971195,5.689535217,3.705231061,2.628190336,3.828239655
19,AL-SelSampling-MOOB-b0.2-,0.203984,95.36462791,79.32180945,79.33615173,78.78112025,79.89990334,4.84988456,81.6256,75.75333154,80.85238967,82.02014876,85.83506991,87.13190078,60.64794175,81.38171055,83.55912412,85.5229667,84.81251592,58.62928397,80.33439299,80.53826273,86.15777355,89.59045905,62.87862837,9.196171387,5.772069356,3.642248382,2.470461993,3.168471682
20,AL-FixedUncertainty-MUOB-b0.2-,0.204,87.7444958,60.93915417,59.63846012,57.43911724,62.01335428,10.16543532,59.6101,48.30864268,60.73383195,61.02134514,60.03240419,69.81621482,36.37426967,68.31579063,65.33350403,68.65551217,58.37601987,26.5147595,54.6877999,57.26860696,53.34217639,86.84218422,57.92600391,12.69353096,11.08044691,6.084826673,9.528430332,11.43994173
21,AL-VarUncertainty-MUOB-b0.2-,0.204,87.34179686,67.02668071,65.88470709,63.5910453,68.35035522,8.478879413,66.7208,57.08757623,63.10040563,68.06448553,75.43991469,73.57777005,42.60970799,69.43319638,74.16931105,78.81311289,60.51554725,35.02405893,57.86408349,62.98348129,72.37761538,93.92139214,54.60520379,12.74528925,8.044964053,4.86603684,9.465662067,7.272444859
22,AL-RandVarUncertainty-MUOB-b0.2-,0.204,89.56979675,67.03787855,65.53031769,63.47778795,67.72090894,8.509532061,66.4126,56.67044305,65.57353747,71.02354549,68.25269943,74.04016875,41.40162773,70.49259467,76.45577116,74.84375188,64.09501385,31.50180817,61.32317658,66.35239915,62.73701071,87.74527453,60.44668371,12.84220475,7.444033668,5.267301492,7.61007523,9.384045163
23,AL-SelSampling-MUOB-b0.2-,0.203998,89.54911584,67.5722178,65.97827679,63.87884191,68.22081652,8.371886602,67.0376,57.41303409,65.94151655,71.79324574,68.776616,73.7189865,43.17485002,70.90304222,76.94241297,74.17920153,63.73343441,33.63611841,61.6368762,67.37124021,64.12904195,87.52475248,60.44217176,12.65782525,7.36259089,5.578965784,7.707919878,8.552131204
24,OALDI-b0.2-,0.325861,84.26156406,56.52634611,62.80608903,64.79222391,60.93864559,8.815563101,67.6271,56.49273157,70.30959478,68.22213894,67.75053732,73.09011349,31.1946764,65.9987879,66.86818321,72.13464391,74.21450653,44.74499802,75.22612764,69.63741244,63.87225949,72.00345035,23.95397804,19.38985238,12.56810772,6.160805778,3.849056168,2.109993466
25,OALE-b0.2-,0.32002,95.91788808,82.12783277,84.44999809,85.86256051,83.083963,3.626858551,86.7005,82.2852541,86.10714007,87.05648503,90.1162523,91.47887821,66.62659608,83.52667655,87.56585516,90.39316616,92.74671327,75.08039139,88.85526631,86.55541821,89.84432876,90.2490249,59.91577681,8.769653145,4.477033682,2.384844168,1.085637144,1.417124616
26,CALF-MID-b0.2-,0.186455,98.81762555,92.81884076,92.78087832,92.68073209,92.8814592,1.624000852,93.8647,91.87857891,93.87785806,94.38813613,95.13072953,95.27081401,85.2073129,93.38611075,95.19192812,95.1770156,95.46490912,84.18369688,94.3752999,93.59853167,95.0860947,95.07875788,86.26861182,3.344035046,1.722166896,1.20341906,0.69506623,1.155317029
