,name,avglabelcost,avgMAUC,avgGmeans,avgF1Score,avgPrecision,avgRecall,avgFPR,avgCorrectRate,avgKappaStatistic,F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),FalseAlarmRate for class0 (percent),FalseAlarmRate for class1 (percent),FalseAlarmRate for class2 (percent),FalseAlarmRate for class3 (percent),FalseAlarmRate for class4 (percent)
14,AL-RandVarUncertainty-ARF-b0.2-,0.204,96.55353918,74.89006049,81.48449949,86.05936842,77.37997352,4.636526323,83.8481,77.73734183,83.84168977,57.31600154,87.06731982,86.99049696,85.34824266,83.27272562,84.03183091,97.38216149,85.70684373,79.90328032,84.43857965,43.78986587,78.74149406,88.32635044,91.60357756,8.496009361,0.612713045,0.328534983,2.276358012,11.46901621
15,AL-SelSampling-ARF-b0.2-,0.20399,96.5706263,75.27825512,81.75155647,86.29501698,77.67928589,4.569975638,84.0847,78.06508009,84.06067221,57.83258131,87.10362634,87.30960243,85.58858708,83.49459857,84.37580124,97.28109438,86.18051777,80.14307296,84.64221449,44.56184799,78.86562477,88.48496184,91.84178035,8.37569011,0.609818844,0.341694853,2.193942332,11.32873205
16,AL-FixedUncertainty-MOOB-b0.2-,0.204,95.25103168,75.38050256,77.9409693,78.10701176,77.77634196,4.867331323,81.8717,75.49117233,82.25828981,51.77400258,82.76618834,86.53719236,84.337956,84.54440892,61.89174243,78.19085625,82.14266706,83.76538415,80.09446977,44.51266766,87.9234278,91.43049529,84.92064926,7.324771964,1.972665881,3.790965865,3.067156082,8.181096822
17,AL-VarUncertainty-MOOB-b0.2-,0.204,94.53377049,79.64795554,80.65348825,80.65685554,80.65299052,4.366241525,83.6867,77.95684482,83.8209418,62.46288909,82.42784941,87.17877039,86.58267437,85.18835761,68.23574136,79.42181317,83.6335905,86.80477508,82.50209933,57.66020864,85.67337172,91.06314529,86.36612762,7.179548728,1.94608211,3.427684209,2.751460166,6.526432411
18,AL-RandVarUncertainty-MOOB-b0.2-,0.204,94.94948398,74.92934238,77.03462671,77.23800219,76.83342318,5.19868894,80.7928,73.98860587,80.94174605,52.1627484,83.04628842,84.85878606,83.18840881,82.23623954,58.98510205,79.3624843,83.04069226,82.56549279,79.68959933,46.78539493,87.10012712,86.76268143,83.8293131,8.613178108,2.343123593,3.497870179,2.73460766,8.80466516
19,AL-SelSampling-MOOB-b0.2-,0.203985,94.95691596,75.16260908,77.31180192,77.47054775,77.1543542,5.105691399,81.1349,74.45374182,81.15134139,51.60344211,84.10749027,85.24396265,83.53391808,82.19093637,58.08583053,80.19743546,83.71284905,83.16568732,80.13915547,46.45752608,88.43116728,86.83450546,83.90941669,8.687740038,2.413120377,3.373544045,2.607059584,8.446992948
20,AL-FixedUncertainty-MUOB-b0.2-,0.204,86.10476969,59.49627232,57.49332727,54.65021967,60.64893048,10.56139749,58.6522,46.22007785,59.28344165,38.61375627,48.93912943,71.90173143,61.99908667,65.83022233,30.25220695,44.43231438,61.52912805,71.20722665,53.93354127,53.38897168,54.50085994,86.50755649,54.91372301,14.00699112,8.857433809,10.54070902,8.356534386,11.04531912
21,AL-VarUncertainty-MUOB-b0.2-,0.204,85.2117553,63.03345187,61.52076462,58.73765042,64.58193856,9.598135713,62.6646,51.2229202,62.2242157,43.89117819,59.22592133,71.07672134,64.71576107,67.81907343,39.54806341,53.64796189,57.65752775,75.01562565,57.53988724,49.47690015,66.13474912,92.81684872,56.94130756,13.6518843,5.467574231,8.824038695,10.58810629,9.459075053
22,AL-RandVarUncertainty-MUOB-b0.2-,0.204,86.14465029,61.58899649,59.49436979,56.62926789,62.66651787,10.05296462,60.7146,48.78747125,62.03128373,41.48671853,52.6712849,72.09686076,62.87256453,67.73994848,33.86060533,47.49985002,61.25848843,72.78744718,57.23608445,53.94485842,59.14977941,87.62980697,55.37206011,13.62818051,7.661164112,10.08992577,8.565459289,10.32009342
23,AL-SelSampling-MUOB-b0.2-,0.203998,86.61000679,62.75658742,60.52120538,57.64422216,63.70318452,9.841831993,61.6288,49.91349831,62.50456714,42.41676847,54.7484056,73.20795392,63.7281018,67.73657731,34.25962372,49.69778371,63.14227936,73.38484671,58.06471929,56,60.98556794,87.12329792,56.34233746,13.82891263,7.803515918,9.551294631,7.861347739,10.16408905
24,OALDI-b0.2-,0.323318,83.9628548,55.17965356,62.41998632,65.03297149,60.00908815,8.581120768,69.2748,57.47471516,72.30058041,30.45616676,58.39744081,72.75506844,74.46026702,68.54674516,43.4313824,65.76171497,76.07381951,71.3511954,76.49172265,23.45901639,52.52149854,69.71943738,77.85376577,17.55955953,2.198199164,4.222471054,3.383775423,15.54159867
25,OALE-b0.2-,0.312625,96.01971386,81.43596558,85.2909362,87.62138198,83.08217698,3.181666764,88.5605,84.36133813,88.84675822,64.21371477,88.80549452,90.7066822,91.33845298,87.34873107,80.46021447,89.37323,91.54829066,89.37644368,90.40127159,53.47690015,88.26067449,89.88178962,93.39024904,6.553798608,0.933540572,1.620741801,1.280213311,5.520039525
26,CALF-MID-b0.2-,0.188734,98.71912753,91.90017529,92.7927173,93.58058848,92.01809291,1.681075803,93.8915,91.70138634,94.05463364,87.21539739,92.83105567,94.48580575,95.1838707,94.24036862,91.51016324,93.18910487,95.22343353,93.73987215,93.86996161,83.30849478,92.4773798,93.76103546,96.67359292,2.870109217,0.555686569,1.04355455,0.725812037,3.210216639
